Question;Réponse 1;Réponse 2;Réponse 3;Réponse 4;Correction (1 à 4)
Quel est le nom du traité qui a mis fin à la Première Guerre mondiale?;Traité de Versailles;Traité de Paris;Traité de Tordesillas;Traité de Westphalie;1
Quelle reine d'Angleterre a eu le plus long règne?;Reine Victoria;Reine Elizabeth I;Reine Elizabeth II;Reine Anne;3
Quel est le nom de la période de l'histoire européenne entre le Moyen Âge et l'époque moderne?;Renaissance;Révolution industrielle;Âge des Lumières;Âge de la Découverte;1
Quel est le nom du pharaon égyptien dont la tombe a été découverte presque intacte en 1922?;Néfertiti;Ramsès II;Cléopâtre;Toutankhamon;4
Quel est le nom de la route commerciale historique entre l'Europe et l'Asie?;Route de la soie;Route des épices;Route de l'or;Route du thé;1
Quel est le nom de l'explorateur qui a été le premier à faire le tour du monde?;Christophe Colomb; Ferdinand Magellan;Marco Polo;Vasco de Gama;2
Quel est le nom de l'empereur russe qui a modernisé la Russie au 18ème siècle?;Pierre le Grand;Ivan le Terrible;Catherine la Grande;Alexandre le Grand;1
Quel est le nom de la reine d'Angleterre qui a régné pendant l'ère victorienne?;Reine Anne;Reine Elizabeth I;Reine Elizabeth II;Reine Victoria;4
Quel est le nom de la période de l'histoire française connue pour son art et sa culture?;Belle Époque;Renaissance;Révolution;Âge des Lumières;1
Quel est le nom de la période de l'histoire européenne marquée par des changements majeurs dans la culture, la politique et la société?;Renaissance;Révolution industrielle;Âge des Lumières;Âge de la Découverte;3


