Question;Réponse 1;Réponse 2;Réponse 3;Réponse 4;Correction (1 à 4)
Quel est le nom de l'architecte qui a conçu la Tour Eiffel?;Gustave Eiffel;Le Corbusier;Frank Lloyd Wright;Antoni Gaudí;1
Quel est le nom de l'explorateur qui a découvert la Nouvelle-Zélande?;James Cook;Christopher Columbus;Ferdinand Magellan;Vasco da Gama;1
Quel est le nom du scientifique qui a développé la théorie de la relativité?;Isaac Newton;Albert Einstein;Galileo Galilei;Stephen Hawking;2
Quel est le nom de l'empereur japonais pendant la Seconde Guerre mondiale?;;Akihito;Meiji;Hirohito;4
Quel est le nom de l'océan qui borde la côte ouest des États-Unis?;Océan Atlantique;Océan Indien;Océan Pacifique;Océan Arctique;3
Quel est le nom de l'animal le plus rapide du monde?;Le guépard;Le faucon pèlerin;Le marlin bleu;Le lièvre;2
Quel est le nom de la plus grande île du monde?;Groenland;Madagascar;Bornéo;Australie;4
Quel est le nom du plus grand musée d'art du monde?;Le Louvre;Le British Museum;Le Prado;Le Metropolitan Museum of Art;1
Quel est le nom de l'écrivain qui a écrit "1984"?;Ray Bradbury ;Aldous Huxley;George Orwell;Philip K. Dick;3
Quel est le nom de l'empereur romain au moment de la naissance de Jésus?;Auguste;Julius Caesar;Nero;Constantine;1
Quel est le nom de l'animal le plus lourd du monde?;L'éléphant d'Afrique;La baleine bleue;L'hippopotame;Le rhinocéros blanc;2
Quel est le nom de l'artiste qui a peint "La Nuit étoilée"?;Salvador Dalí;Pablo Picasso;Claude Monet;Vincent van Gogh;4
